"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"MEMAPE02",0.284586908859214,0.0271627390543551,0.542011078664072,-0.463645157540506,2.25985980450732,0.0314198897631807,0.273501298499019,-3.66545267892817,0.284586908859214,0.0314198897631807,0.273501298499019,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/18:2)","HMDB11343",NA,"Glycerophospholipids","Glycerophospholipids"
"MEMAPE05",0.269608149934821,0.0527437210949008,0.486472578774742,-0.706813725904467,2.54132725065539,0.0165782559516068,0.26959282638224,-3.13123880024136,0.269608149934821,0.0165782559516068,0.26959282638224,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/18:1)",NA,NA,"Glycerophospholipids","Glycerophospholipids"
"MEMAPE06",0.222027815130492,-0.0451449925399315,0.489200622800916,-0.219307236723381,1.69878306684202,0.0999413868631481,0.277254083483343,-4.594774950499,0.222027815130492,0.0999413868631481,0.277254083483343,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE08",0.301711149280831,0.0413699468259734,0.562052351735688,-0.300812906847366,2.36899613766707,0.0246252913622892,0.26959282638224,-3.46313340312525,0.301711149280831,0.0246252913622892,0.26959282638224,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/20:4)","HMDB11386",NA,"Glycerophospholipids","Glycerophospholipids"
"MEMAPE09",0.214193830341815,-0.0420252212421561,0.470412881925786,-0.178895093242553,1.70887949178607,0.0980284860190621,0.277254083483343,-4.57985041475068,0.214193830341815,0.0980284860190621,0.277254083483343,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE11",0.140407247195496,-0.0443104640358407,0.325124958426832,0.470984958434437,1.55380632820123,0.13094798743048,0.308942641794028,-4.80096029073805,0.140407247195496,0.13094798743048,0.308942641794028,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/22:6)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE13",0.158142542395336,-0.091526620408479,0.40781170519915,-0.299419753270363,1.29479111759128,0.205485449211848,0.367340426330769,-5.1302974435562,0.158142542395336,0.205485449211848,0.367340426330769,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-17:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE14",0.144091179471208,-0.100677581060193,0.388859940002608,0.380569885774482,1.20336481088559,0.238451420943965,0.401521424944354,-5.23395527213591,0.144091179471208,0.238451420943965,0.401521424944354,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-17:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE15",0.253617322547551,0.0194708396354941,0.487763805459608,-0.53722361239828,2.21415068985434,0.0347375045508872,0.273501298499019,-3.74827025825867,0.253617322547551,0.0347375045508872,0.273501298499019,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-20:0/20:4)",NA,NA,"Glycerophospholipids","Glycerophospholipids"
"MEMAPE16",0.3911627836288,0.120973306107351,0.661352261150248,-0.274568233440194,2.9595422188311,0.00604350721789769,0.197169422983912,-2.27071592418899,0.3911627836288,0.00604350721789769,0.197169422983912,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/22:5) + PE(P-20:1/20:4)",NA,NA,"Glycerophospholipids","Glycerophospholipids"
"MEMAPE17",0.258449324745759,-0.00584815944548817,0.522746808937007,-0.156808661219257,1.99893316034292,0.0549505330636316,0.273501298499019,-4.12203038227504,0.258449324745759,0.0549505330636316,0.273501298499019,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/18:2)","HMDB11376",NA,"Glycerophospholipids","ns"
"MEMAPE20",0.241022263280286,-0.0498886061694141,0.531933132729985,-0.374459270970642,1.69385644350101,0.100916237283209,0.277254083483343,-4.6020898829747,0.241022263280286,0.100916237283209,0.277254083483343,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(16:1e/20:3)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE21",0.126301158691629,-0.153044183991178,0.405646501374437,-0.104906137257506,0.924345453578375,0.362864810392128,0.4881841005791,-5.50728577634855,0.126301158691629,0.362864810392128,0.4881841005791,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(16:1e/20:5)",NA,NA,"Glycerophospholipids","ns"
