"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"MG02",-0.288477182836886,-0.674667518694747,0.0977131530209746,-1.04094475241227,-1.50353400503597,0.139526055245985,0.999894227787678,-4.43567570373736,-0.288477182836886,0.139526055245985,0.999894227787678,"HIPE","Glycerolipids","Monoacylglycerols","MG(16:0/0:0/0:0)","HMDB11564",NA,"Glycerolipids","ns"
"MG06",-0.149912052970458,-0.63176361819574,0.331939512254824,0.798572630256658,-0.626240909094109,0.534251530142495,0.999894227787678,-4.72063488393042,-0.149912052970458,0.534251530142495,0.999894227787678,"HIPE","Glycerolipids","Monoacylglycerols","MG(18:2(9Z,12Z)/0:0/0:0)","HMDB11568",NA,"Glycerolipids","ns"
"SphLip_02",0.109853204886367,-0.201574346020241,0.421280755792974,-0.141142412732036,0.710000884116053,0.481282038672638,0.999894227787678,-4.70302269657484,0.109853204886367,0.481282038672638,0.999894227787678,"HIPE","Sphingolipids","Sphingomyelin","SM(d18:0/14:0)","HMDB12085","C00550","Sphingolipids","ns"
"SphLip_03",0.130168144697975,-0.206880072434435,0.467216361830385,-0.213821915710975,0.777348686255577,0.440926556221382,0.999894227787678,-4.6873195973844,0.130168144697975,0.440926556221382,0.999894227787678,"HIPE","Sphingolipids","Sphingomyelin","SM(d18:0/15:0)",NA,NA,"Sphingolipids","ns"
"SphLip_04",0.0461147380111302,-0.173062271758318,0.265291747780579,-0.700433265943271,0.423494657921355,0.67390500524968,0.999894227787678,-4.75432729641435,0.0461147380111302,0.67390500524968,0.999894227787678,"HIPE","Sphingolipids","Sphingomyelin","SM(d18:0/16:0)","HMDB10168","C00550","Sphingolipids","ns"
"SphLip_05",0.114355136816893,-0.315176562958235,0.54388683659202,-0.34547202925308,0.535893653817314,0.594613287028464,0.999894227787678,-4.73722340300538,0.114355136816893,0.594613287028464,0.999894227787678,"HIPE","Sphingolipids","Sphingomyelin","SM(d18:0/18:0)","HMDB12087","C00550","Sphingolipids","ns"
"SphLip_06",0.134843908988379,-0.333673720623613,0.60336153860037,-0.170645868099122,0.579326711391857,0.565194484671164,0.999894227787678,-4.72956277260425,0.134843908988379,0.565194484671164,0.999894227787678,"HIPE","Sphingolipids","Sphingomyelin","SM(d18:0/22:0)","HMDB12091","C00550","Sphingolipids","ns"
"SphLip_07",0.126454795253481,-0.172161469870752,0.425071060377713,-0.0428284787821457,0.852363868354569,0.398421577184722,0.999894227787678,-4.66823157234666,0.126454795253481,0.398421577184722,0.999894227787678,"HIPE","Sphingolipids","Sphingomyelin","SM(d18:1/12:0)","HMDB12096","C00550","Sphingolipids","ns"
"SphLip_08",0.206102729058095,-0.0280599864145523,0.440265444530743,0.0948922732415917,1.77161433191449,0.0830727306501625,0.999894227787678,-4.30812911366693,0.206102729058095,0.0830727306501625,0.999894227787678,"HIPE","Sphingolipids","Sphingomyelin","SM(32:1)",NA,NA,"Sphingolipids","ns"
"SphLip_09",0.253779471476932,0.0407643225748636,0.466794620379,0.285219535408329,2.39800004449516,0.020592659570933,0.999894227787678,-3.95060561784397,0.253779471476932,0.020592659570933,0.999894227787678,"HIPE","Sphingolipids","Sphingomyelin","SM(33:1)",NA,NA,"Sphingolipids","Sphingolipids"
