"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"MEMAPC26",0.0166980161340659,-0.148941002491344,0.182337034759475,-0.226098823382876,0.200009302449585,0.841880436514633,0.903122246225573,-4.90770136265025,0.0166980161340659,0.841880436514633,0.903122246225573,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-18:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC27",0.100244192287392,-0.0759038316525242,0.276392216227309,-0.515673239076198,1.1290922148677,0.261566587008015,0.498312986927679,-4.61443553558342,0.100244192287392,0.261566587008015,0.498312986927679,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-18:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC28",0.141272142827811,-0.0368712873682542,0.319415573023876,0.120158019913792,1.57338385608866,0.118796061088672,0.382594809159304,-4.3344867349781,0.141272142827811,0.118796061088672,0.382594809159304,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-18:2/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC29",0.120432829259172,-0.033540002538258,0.274405661056602,0.291869690150783,1.55184649447738,0.1238655887536,0.382594809159304,-4.3500470641864,0.120432829259172,0.1238655887536,0.382594809159304,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-16:0/22:6)","HMDB11229",NA,"Glycerophospholipids","ns"
"MEMAPC30",0.027403793140016,-0.129911743042723,0.184719329322755,-0.110737889951185,0.34561058355537,0.730363088020114,0.84347241581084,-4.88866790358188,0.027403793140016,0.730363088020114,0.84347241581084,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-18:0/22:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC31",0.0819648091677108,-0.0628213153294951,0.226750933664917,0.038517999150863,1.12317765859955,0.264057651949824,0.49941338520945,-4.61756997140678,0.0819648091677108,0.264057651949824,0.49941338520945,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-20:0/20:4)","HMDB13442",NA,"Glycerophospholipids","ns"
"MEMAPC32",0.046128403079941,-0.0934420132266931,0.185698819386575,0.109141360406975,0.655726920457415,0.513509207914637,0.687312324439591,-4.81448983410781,0.046128403079941,0.513509207914637,0.687312324439591,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-18:1/22:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC33_MEMAPC34",0.0656613850908818,-0.0732925697318836,0.204615339913647,-0.0525799520389853,0.937534148637444,0.35074799300658,0.568603889283958,-4.70785506525857,0.0656613850908818,0.35074799300658,0.568603889283958,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-40:5)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC35",0.0637279538643419,-0.104304203791095,0.231760111519779,0.0208634736136047,0.75246367303593,0.453544047410346,0.645249350795622,-4.78206000177694,0.0637279538643419,0.453544047410346,0.645249350795622,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-22:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC36",0.0654541631662127,-0.095839159241693,0.226747485574118,-0.222578996023398,0.805135274874071,0.422656333410612,0.630487174797869,-4.76256143428452,0.0654541631662127,0.422656333410612,0.630487174797869,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-42:6)",NA,NA,"Glycerophospholipids","ns"
"MEMAPC37",0.0784491356363014,-0.0743083958607727,0.231206667133375,0.0190612057944574,1.01890454315929,0.310712826852913,0.53720686186427,-4.67022057242482,0.0784491356363014,0.310712826852913,0.53720686186427,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-22:0/20:4)","HMDB13448",NA,"Glycerophospholipids","ns"
"MEMAPC38",0.0399029239889551,-0.124414755552216,0.204220603530126,0.109987584996379,0.481801774519355,0.631002012360829,0.762460764936002,-4.86170936507496,0.0399029239889551,0.631002012360829,0.762460764936002,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(O-24:1/20:4)",NA,NA,"Glycerophospholipids","ns"
